title
Unexpected things that are people
Think Weirder: The Year's Best SciFi Ideas
Launch HN: Hypercubic (YC F25) – AI for COBOL and Mainframes
Benchmarking leading AI agents against Google reCAPTCHA v2
Asus Ascent GX10
Interesting SPI Routing with iCE40 FPGAs
European Commission plans “digital omnibus” package to simplify its tech laws
LLMs are steroids for your Dunning-Kruger
Pose Animator – An open source tool to bring SVG characters to life (2020)
"Redmond, WA, turns off Flock Safety cameras after ICE arrests"
Cops Can Get Your Private Online Data
The (Lazy) Git UI You Didn't Know You Need
Time to start de-Appling
Steven Heller's Font of the Month: Archive Matrix
Reminder to passengers ahead of move to 100% digital boarding passes
Rewilding the Internet
"ClickHouse acquires LibreChat, open-source AI chat platform"
Beets: The music geek’s media organizer
Installing and using HP-UX 9
Games Preservation Is Hard and Sometimes Involves Private Detectives
Using the expand and contract pattern for schema changes
Hacker News Headlines (game)
Multistable thin-shell metastructures for multiresponsive metabots
Refashion: Reconfigurable Garments via Modular Design
Staying opinionated as you grow
Modular monolith and microservices: Modularity is what matters
"DNS Provider Quad9 Sees Piracy Blocking Orders as ""Existential Threat"""
Ask HN: What Are You Working On? (Nov 2025)
Show HN: What Is Hacker News Working On?
XSLT RIP
